Index of Gen, I#1: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, I#2: Average AdditionProb of Gen, Average SubstractionProb of Gen, Average SubstitutionProb of Gen, 
304,0.296624,0.472537,0.479659,0.476034,0.775013,0.353048,
305,0.297832,0.470509,0.480325,0.475479,0.773078,0.351749,
306,0.300628,0.469342,0.48136,0.477601,0.774616,0.352575,
307,0.297778,0.466099,0.479834,0.478648,0.776015,0.35432,
308,0.296822,0.473779,0.477447,0.475805,0.778024,0.352163,
309,0.297831,0.478108,0.480288,0.473864,0.781574,0.353765,
310,0.298567,0.473678,0.48077,0.473847,0.781714,0.354652,
311,0.294988,0.474562,0.480612,0.47423,0.783129,0.354348,
312,0.296075,0.46542,0.480174,0.470976,0.783136,0.363887,
313,0.293881,0.46315,0.479444,0.469157,0.782495,0.357824,
314,0.293568,0.462047,0.477836,0.471456,0.781609,0.350905,
315,0.293358,0.453816,0.478463,0.47309,0.780162,0.350794,
316,0.296343,0.447381,0.480191,0.472798,0.779818,0.352483,
317,0.294046,0.444564,0.480685,0.471918,0.78264,0.354671,
318,0.293928,0.440379,0.481228,0.470883,0.780079,0.353845,
319,0.293211,0.439603,0.482307,0.469699,0.779973,0.356188,
320,0.293446,0.440631,0.482192,0.474339,0.777944,0.352822,
321,0.293493,0.443024,0.481587,0.473766,0.77532,0.352872,
322,0.293592,0.441192,0.479817,0.471749,0.768921,0.351846,
323,0.294896,0.442019,0.48377,0.470611,0.769942,0.351161,
324,0.292609,0.443685,0.484134,0.470299,0.766552,0.349862,
325,0.293661,0.449672,0.483912,0.472177,0.765908,0.350702,
326,0.293223,0.451269,0.483976,0.479432,0.762499,0.354548,
327,0.294468,0.438294,0.483958,0.479785,0.754232,0.357677,
328,0.292993,0.428452,0.483641,0.478466,0.755798,0.360406,
329,0.293615,0.431681,0.483898,0.477882,0.759881,0.358764,
330,0.295308,0.437621,0.484281,0.479213,0.761936,0.358432,
331,0.293746,0.424349,0.484414,0.481013,0.764425,0.357743,
332,0.293043,0.422749,0.485542,0.476598,0.755481,0.36175,
333,0.29078,0.42759,0.482717,0.473399,0.755503,0.362072,
334,0.293254,0.422075,0.47866,0.473302,0.749954,0.365822,
335,0.294352,0.42295,0.479048,0.471568,0.745794,0.368199,
336,0.295348,0.421365,0.476559,0.470969,0.745187,0.369898,
337,0.29582,0.421897,0.474953,0.467244,0.746846,0.371478,
338,0.297989,0.422761,0.471727,0.46573,0.74546,0.378623,
339,0.299455,0.421011,0.469921,0.461417,0.746063,0.383565,
340,0.296812,0.421728,0.469076,0.462747,0.747615,0.383971,
341,0.298618,0.424972,0.466766,0.460437,0.746412,0.383037,
342,0.297649,0.423455,0.475285,0.461757,0.748044,0.381979,
343,0.297823,0.423529,0.473395,0.462177,0.743289,0.380495,
344,0.29669,0.422585,0.477482,0.460766,0.744364,0.383035,
345,0.297207,0.420476,0.488293,0.464124,0.745741,0.380035,
346,0.297911,0.419634,0.488101,0.463128,0.744187,0.383367,
347,0.294788,0.421497,0.486477,0.463878,0.741156,0.383419,
348,0.293872,0.420714,0.48832,0.463271,0.739442,0.383614,
349,0.292978,0.420818,0.486883,0.460156,0.739483,0.383454,
350,0.292464,0.417662,0.488089,0.460225,0.739706,0.384269,
351,0.288317,0.421007,0.487587,0.460684,0.736974,0.382952,
352,0.292263,0.420545,0.488923,0.461852,0.73507,0.383686,
353,0.293743,0.420514,0.488202,0.46901,0.733544,0.381687,
354,0.294338,0.420882,0.486549,0.473724,0.730297,0.382959,
355,0.293563,0.422965,0.486717,0.472595,0.731251,0.379167,
356,0.292983,0.42411,0.486871,0.472673,0.735999,0.3798,
357,0.290991,0.428117,0.485734,0.470657,0.735711,0.380937,
358,0.292134,0.424,0.481572,0.468112,0.729275,0.378933,
359,0.29329,0.421534,0.481392,0.467678,0.73257,0.38112,
360,0.291005,0.423605,0.474361,0.464184,0.71962,0.381338,
